"buyPrice","sellVolume","sellMovingWeek","productId","sellOrders","buyOrders","sellPrice","buyVolume","buyMovingWeek"
"5.066226","15883619","544067862","HARD_STONE","234","852","1.918204","12864465","11304137"
"12569.087113","11579","11533","HARDENED_WOOD","102","933","4202.211419","18363","5545"
"36.951773","2628765","4664272","HAY_BLOCK","108","1094","21.003815","2480185","3093945"
"256135.8","12752","8400","HAZMAT_ENDERMAN","338","185","167808.02996","849","8435"
"979995.7","1529","4046","HEAVY_GABAGOOL","57","39","718001.2","328","4406"
"2498.536827","4796751","1544203","HOLY_FRAGMENT","1284","688","2129.513973","67340","155703"
"1090108.088095","3933","991","HORNS_OF_TORMENT","97","320","730417.452941","1701","1176"
"546.616957","588771","2559510","HOT_BAIT","143","2757","340.33343","3131776","2803909"
"42295.427606","49878","102487","HOT_POTATO_BOOK","1484","6417","37340.356229","128054","482151"
"104531.529167","4192","1699","HOT_STUFF","118","396","55395.191304","4346","1270"
"3.7","1928291","796804","HUGE_MUSHROOM_1","32","222","1.3","851504","283268"
"9.46099","930828","420261","HUGE_MUSHROOM_2","29","965","2.137506","1165120","108753"
"147081.127053","922056","64811","HYPER_CATALYST","573","1695","112173.950557","835916","123894"
"31249999.7","8263","88","HYPERGOLIC_GABAGOOL","322","10","2291369.235495","39","227"
"6.401808","4748343","24921624","ICE","99","765","4.09103","7448451","8542502"
"41.995198","3658331","2018268","ICE_BAIT","134","791","16.7","3710351","1150840"
"0","10296","0","INFERNO_APEX","368","0","4597025.545254","0","0"
"172999999.5","305248","15","INFERNO_VERTEX","57","5","29268.722773","5","73"
"990.741487","8032487","8585680","INK_SACK","551","323","980.788182","232429","692661"
"4.273432","2116870","26226154","INK_SACK:3","48","1610","2.4","4581263","8433709"
"3.2","5237110","86304536","INK_SACK:4","92","217","2.026149","2437832","17084413"
"7.399687","5004865","92377605","IRON_INGOT","98","869","6.6","3891466","12947708"
"10907.32062","3578239","631476","JACOBS_TICKET","2313","681","9869.671171","123627","706902"
"4701419.35","3169","971","JADERALD","714","39","2643931.983333","58","1418"
"128732.630975","102300","3946","JERRY_BOX_BLUE","69","604","93853.69043","84166","6723"
"1439125.452959","38708","551","JERRY_BOX_GOLDEN","917","953","1124169.518974","16764","3327"
"98995.000122","565653","7320","JERRY_BOX_GREEN","418","276","10599.525021","81668","25510"
"419125.287537","1172719","7415","JERRY_BOX_PURPLE","281","1230","6937.390946","117108","10797"
"19103.886207","17699","1873","JERRY_STONE","198","506","3505.30022","4755","1135"
"0","8208","0","KUUDRA_MANDIBLE","255","0","157502.556989","0","0"
"54.632642","10203","28926","LAPIS_CRYSTAL","55","371","4.356064","6974","14936"
"30.223164","2244228","19718264","LEATHER","92","1275","23.500546","7331963","10955635"
"117.265164","1373601","1442951","LIGHT_BAIT","113","1095","62.733869","1073765","929242"
"6.822666","1901418","31744478","LOG","52","803","4.7","2012829","11293644"
"12.186683","3908510","27444520","LOG_2","80","776","8.240344","1704281","5099241"
"4.396037","1659714","29885743","LOG_2:1","37","300","2.211779","3281926","8214033"
"6.678594","1563466","23454851","LOG:1","36","749","4.2","2045122","5290195"
"6.956717","6103909","17187832","LOG:2","110","230","2.291566","958664","6029021"
"9.272242","975967","22002926","LOG:3","25","793","5.8","5995405","11385167"
"1144755.516197","3312","246","LUCKY_DICE","143","369","970081.366197","6589","1775"
"1335543.62619","9695","8142","LUXURIOUS_SPOOL","825","545","1252405.995673","2014","14164"
"1868993.166667","10294","5483","MAGMA_BUCKET","566","258","1703831.508627","2085","5780"
"9.877599","6409960","18613126","MAGMA_CREAM","107","399","6.789082","2649152","4188454"
"7357.960903","1765073","33944","MAGMA_CREAM_DISTILLATE","324","707","1254.711809","97415","24104"
"299.423651","7541578","45966948","MAGMA_FISH","214","316","201.941311","294421","2401650"
"155666666","22009","1","MAGMA_FISH_DIAMOND","750","1","496756.506077","1","1"
"1956878.307143","476848","6627","MAGMA_FISH_GOLD","121","83","511427.016613","570","13630"
"24464.790777","2658888","1679412","MAGMA_FISH_SILVER","1079","819","7812.538474","157050","1569558"
"2718250.866667","6674","7512","MAGMA_URCHIN","768","80","1260359.374684","142","9244"
"0","8224","0","MANDRAA","671","0","360231.168485","0","0"
"2.631616","1785212","43243427","MELON","29","1386","1.7","28163064","20200737"
"27.916829","2489426","4980194","MELON_BLOCK","61","795","15.752628","2051405","5844908"
"1864500.9","2093","374","METEOR_SHARD","42","49","1082775.496552","143","367"
"26999.572222","1959","1884","MIDAS_JEWEL","20","303","11001.2","1791","923"
"16.265354","3319834","669075","MINNOW_BAIT","127","342","9.689408","304309","328239"
"11.447492","17243430","370788032","MITHRIL_ORE","296","185","9.026414","1152450","4340913"
"0","2395","189","MOIL_LOG","52","82","0","378","102"
"1034.474016","16961","11154","MOLTEN_CUBE","106","548","29.42011","6125","6386"
"681999.833333","853409","15975","MOLTEN_POWDER","330","38","486882.711409","2355","20938"
"53346.317186","1837169","347057","MUTANT_NETHER_STALK","745","236","50505.153718","34157","127586"
"19.963261","1423446","4029068","MUTTON","66","898","6.046739","1363744","2789627"
"48.123468","1840671","23347322","MYCEL","109","2093","27.6","5594531","13293798"
"49011.051908","50587","18867","NECROMANCER_BROOCH","1102","889","35374.308287","5653","22374"
"4.515239","1420655","129638920","NETHER_STALK","43","2163","2.829001","46885488","99467637"
"5957.127809","1380547","30223","NETHER_STALK_DISTILLATE","234","348","3121.234637","40635","22473"
"1","337116","7042976","NETHERRACK","13","598","0.302668","3604760","3391700"
"34411.697698","1379264","21401","NULL_ATOM","823","40","28196.993756","2669","11667"
"204866.298824","1043596","123126","NULL_OVOID","414","84","158086.971593","18326","173514"
"894.271769","9378622","40756699","NULL_SPHERE","622","713","809.704133","1786129","5611350"
"8999.4","336898","39005","NURSE_SHARK_TOOTH","196","91","3714.330844","29068","42321"
"17.110993","7372068","55311027","OBSIDIAN","191","541","15.190829","864967","9547613"
"1638523.884615","2369","293","OBSIDIAN_TABLET","202","35","1085262.531034","185","636"
"2550.967952","1979899","131978","OLD_FRAGMENT","339","443","2165.799307","45334","56998"
"1937473.194444","7617","335","OMEGA_EGG","427","116","1313430.103226","1277","871"
"55.78773","7586","20269","ONYX","46","635","9.021866","16210","6007"
"974.4","10691","9240","OPTICAL_LENS","73","108","40.587645","1042","7538"
"46.468414","4547791","33699888","PACKED_ICE","117","1781","41.2","3398289","16885736"
"5877184.135294","1556433","2396","PERFECT_AMBER_GEM","351","36","50628.802232","420","3511"
"9683329.166667","156658","777","PERFECT_AMETHYST_GEM","190","28","14883.430687","82","659"
"9939907.9","1549356","2361","PERFECT_JADE_GEM","183","15","14820.591393","233","3297"
"12103044.3","24689512","6272","PERFECT_JASPER_GEM","2699","110","81746.059339","882","6767"
"12249999.866667","1166454","222","PERFECT_OPAL_GEM","572","33","1004208.247329","118","140"
"8866732.672727","146369","782","PERFECT_RUBY_GEM","28","52","12723.652703","378","681"
"11799999.88","142203","1558","PERFECT_SAPPHIRE_GEM","34","39","19626.598529","245","2094"
"10774998.133333","2524910","2154","PERFECT_TOPAZ_GEM","473","36","15802.845389","258","2911"
"128996.293333","12107","1109","PETRIFIED_STARFALL","252","353","41770.654122","1425","639"
"4893530.574359","44198","2915","PLASMA_BUCKET","1840","382","2656054.219468","3135","4138"
"143409.999441","190245","11422","POLISHED_PUMPKIN","323","78","123420.18223","2490","9210"
"10.967388","2119894","7075951","PORK","68","20","7.1","631554","5228279"
"3.169576","4870131","62552718","POTATO_ITEM","87","1149","1.567955","15398309","36689572"
"190517.373196","71526","10418","POWER_CRYSTAL","767","43","124554.705451","3849","40683"
"1900909.6","3688","317","PRECIOUS_PEARL","302","113","1001706.194805","380","295"
"746659.627857","8099","25856","PRECURSOR_GEAR","350","2024","670203.841209","6560","31808"
"498.939785","725","65689","PREMIUM_FLESH","5","527","0.4","21677","35364"
"60.324436","3641167","16602920","PRISMARINE_CRYSTALS","206","580","52.192499","1230336","2635955"
"3.997988","1419063","17254075","PRISMARINE_SHARD","37","313","2.497356","2094368","2544408"
"2558.514428","2392920","150382","PROTECTOR_FRAGMENT","363","379","2309.915573","127605","70315"
"5.05677","2117043","31170986","PUMPKIN","53","444","3.781799","2021928","7459486"
"59993.398158","1269","5874","PUMPKIN_GUTS","14","45","34707.4","12913","13688"
"2499988.6","3837","147","PURE_MITHRIL","484","11","693175.532911","52","258"
"8753.35457","4194944","607609","PURPLE_CANDY","701","1079","7819.968613","712519","354832"
"20","6183349","31365722","QUARTZ","185","588","14.761002","2694220","15278087"
"12.456071","1167142","4442906","RABBIT","43","314","7.695519","1212864","3076631"
"11.363314","3129392","1877658","RABBIT_FOOT","77","706","5.923601","719407","559174"
"23.6","2275514","4630735","RABBIT_HIDE","49","54","20.4","387987","4456238"
"2.384627","0","36843","RARE_DIAMOND","0","763","0","25567","26538"
"9.260001","2445842","11687306","RAW_BEEF","51","1189","4.812402","3293002","6772441"
"5.4","1698208","7548028","RAW_CHICKEN","43","510","3.720749","3387621","4224514"
"15.942614","2411054","69399508","RAW_FISH","66","991","14.555398","5949328","23160260"
"10.8","7736595","39443625","RAW_FISH:1","157","318","9.2","1508572","4111994"
"21.008763","8484231","24777733","RAW_FISH:2","192","647","18.024881","2485016","472967"
"15.543392","4368022","28850461","RAW_FISH:3","82","751","12.50087","2487326","1528665"
"196.475301","3357973","2035698","RAW_SOULFLOW","205","746","118.11936","874313","1556357"
"500000000","8061","0","REAPER_PEPPER","363","1","1184494.006468","2","1"
"5891691.00411","994074","20888","RECOMBOBULATOR_3000","14343","701","1573121.032435","3398","25295"
"45747.458932","109208","96553","RED_GIFT","106","744","38600.782863","129891","115386"
"4.05463","2275405","32987882","RED_MUSHROOM","43","718","2.104951","3615994","4401266"
"738.051685","13716","8992","RED_NOSE","109","357","101.196528","4420","4629"
"349997.9","8764","2325","RED_SCARF","452","166","301219.013793","731","3126"
"1.426027","3350233","133965966","REDSTONE","54","394","1.007639","5680000","23807568"
"1212891.8","375","341","REFINED_AMBER","52","19","798913.5625","82","595"
"448836.120206","13238455","8111","REFINED_DIAMOND","904","109","25701.297975","6256","14392"
"35306.826316","718933","15603","REFINED_MINERAL","427","1276","2632.7073","1315159","86921"
"298280.014","1053364","23730","REFINED_MITHRIL","414","215","19701.592408","4654","30108"
"207973.318548","204271","29310","REFINED_TITANIUM","507","57","38605.411403","4988","38488"
"3.551567","2390564","66503495","REVENANT_FLESH","48","2858","1.441315","62301481","31127819"
"35986.112834","1040673","219277","REVENANT_VISCERA","497","596","27855.655202","218261","355388"
"189998.979927","27354","6149","ROCK_CANDY","727","879","110539.464134","10599","6309"
"1366243.369231","97","420","ROCK_GEMSTONE","27","105","988385.5","498","748"
"5.44174","2592300","105147036","ROTTEN_FLESH","52","1190","4.306559","4992035","9271781"
"4.210123","3990944","43553778","ROUGH_AMBER_GEM","63","564","2.4","1828687","597389"
"4.336472","7913284","92317474","ROUGH_AMETHYST_GEM","121","101","3.065284","2137336","4370772"
"3","14252842","155663631","ROUGH_JADE_GEM","214","298","2.010366","3871333","2836962"
"9.689003","15381586","18277557","ROUGH_JASPER_GEM","237","676","6.75876","1743548","635443"
"3.401491","752553","2946980","ROUGH_OPAL_GEM","21","420","2.620744","1017311","489392"
"2.851852","6935916","125320706","ROUGH_RUBY_GEM","105","333","2.106936","3468101","2514774"
"3.499972","9800819","139909794","ROUGH_SAPPHIRE_GEM","148","985","2.6","6558434","2285551"
"3.599511","5680136","72322209","ROUGH_TOPAZ_GEM","82","177","2.6","1462325","2080066"
"483245.75","1679","539","SADAN_BROOCH","138","187","332502.026667","883","352"
"1830.572222","27137","7757","SALMON_OPAL","208","633","467.198476","5773","2462"
"5.77845","2713998","20841614","SAND","75","550","4.158704","2473240","13421854"
"48.457889","3173777","17170277","SAND:1","84","1328","40.507581","3736724","10526712"
"7799998.4","11488","1244","SCORCHED_BOOKS","535","27","2830548.680505","48","1634"
"1063327.9","2525","2306","SEARING_STONE","182","38","934328.583333","152","5416"
"0.77681","3246684","76648458","SEEDS","56","1058","0.3","12128798","22983985"
"13.9","6951102","749170","SHARK_BAIT","137","432","8.808997","1325405","453177"
"615.170834","1256506","75438","SHARK_FIN","161","661","348.931042","947758","91982"
"1193819.771264","3123","693","SHINY_PRISM","54","373","555682.948936","3898","1718"
"9.9978","7033736","64634593","SLIME_BALL","143","987","6.404276","8521992","38550952"
"1313.837141","4563071","6154623","SLUDGE_JUICE","954","1189","1241.22813","677071","2935211"
"0.874898","5974252","147443343","SNOW_BALL","100","569","0.5","11553913","16774110"
"5.4","4878552","19997062","SNOW_BLOCK","89","1000","3.991799","5335062","15018747"
"979995","171882","1789","SOUL_FRAGMENT","91","13","126723.623789","331","3081"
"10037.013119","1835212","170153","SOUL_STRING","545","248","1186.815128","121578","185906"
"18704.735952","1350417","484667","SOULFLOW","1257","1170","13512.444693","594352","765765"
